,ANIO,PROVINCIA,Hidroelectrica,Termica,Eolica,Fotovoltaica,Nuclear,Total
837,2006,JAEN,361906,219034,30360,4194,0,615494
838,2006,MALAGA,964558,91178,110000,746,0,1166482
839,2006,SEVILLA,552030,211594,119560,7870,0,891054
840,2006,HUESCA,2216422,271774,438300,1302,0,2927798
841,2006,TERUEL,52548,4237880,50160,640,0,4341228
842,2006,ZARAGOZA,800708,871376,2487750,1236,0,4161070
843,2006,ASTURIAS,1533634,5754120,752700,448,0,8040902
844,2006,BALEARES,0,1822663,3200,1143,0,1827006
845,2006,LAS PALMAS,0,2914980,250514,1966,0,3167460
846,2006,S.C.TENERIFE,1600,2212950,113526,8622,0,2336698
847,2006,CANTABRIA,852728,427338,0,1020,0,1281086
848,2006,AVILA,75161,0,132130,261,0,207552
849,2006,BURGOS,42467,198684,801333,2215,466000,1510699
850,2006,LEON,860960,4526624,146700,2544,0,5536828
851,2006,PALENCIA,146766,1093020,799400,5710,0,2044896
852,2006,SALAMANCA,5229960,57434,62900,3912,0,5354206
853,2006,SEGOVIA,21530,50640,165040,912,0,238122
854,2006,SORIA,38944,147932,1082900,2436,0,1272212
855,2006,VALLADOLID,52006,256306,0,10476,0,318788
856,2006,ZAMORA,1793156,27920,695860,9106,0,2526042
857,2006,ALBACETE,77553,51474,1471080,6540,0,1606647
858,2006,CIUDAD REAL,1556,1351100,304000,2676,0,1659332
859,2006,CUENCA,288264,122858,1159200,7684,0,1578006
860,2006,GUADALAJARA,610146,64120,779260,1552,2452000,3907078
861,2006,TOLEDO,551300,2916032,247500,8754,0,3723586
862,2006,BARCELONA,121160,3247477,66820,5691,0,3441148
863,2006,GIRONA,306914,226824,1180,1092,0,536010
864,2006,LLEIDA,3782216,426026,0,4540,0,4212782
865,2006,TARRAGONA,664104,2457732,155900,1738,6293600,9573074
866,2006,CEUTA,0,78840,0,0,0,78840
867,2006,BADAJOZ,246178,12244,0,405,0,258827
868,2006,CACERES,3852208,1040,0,3522,3914000,7770770
869,2006,LA CORUÑA,831232,7734870,2018610,348,0,10585060
870,2006,LUGO,983628,62500,2280980,774,0,3327882
871,2006,ORENSE,4182010,55420,455780,394,0,4693604
872,2006,PONTEVEDRA,234160,149652,605120,1020,0,989952
873,2006,LA RIOJA,92380,1562992,876360,3018,0,2534750
874,2006,MADRID,197606,473834,0,16860,0,688300
875,2006,MELILLA,0,84120,0,20,0,84140
876,2006,MURCIA,78158,7984672,125898,18034,0,8206762
877,2006,NAVARRA,309714,1850744,1984820,63060,0,4208338
878,2006,ALAVA,41277,102775,109250,1367,0,254669
879,2006,GUIPUZCOA,48186,676018,0,2362,0,726566
880,2006,VIZCAYA,185416,6414512,143000,2256,0,6745184
881,2006,ALICANTE,2326,62953,0,7858,0,73137
882,2006,CASTELLON,98904,4529572,657000,6904,0,5292380
883,2006,VALENCIA,2645104,444428,40980,15264,2190000,5335776
884,2007,ALMERIA,368,1179960,179800,5547,0,1365675
885,2007,CADIZ,28188,8588582,1201434,880,0,9819084
886,2007,CORDOBA,133112,857880,0,7916,0,998908
887,2007,GRANADA,167066,237240,657600,28450,0,1090356
888,2007,HUELVA,0,4267934,88700,14138,0,4370772
889,2007,JAEN,365906,201004,60360,16004,0,643274
890,2007,MALAGA,964558,115178,110000,1634,0,1191370
891,2007,SEVILLA,552378,205754,177860,43408,0,979400
892,2007,HUESCA,2216422,315034,486300,3802,0,3021558
893,2007,TERUEL,52548,4237760,322360,2336,0,4615004
894,2007,ZARAGOZA,800684,2815636,2497010,10560,0,6123890
895,2007,ASTURIAS,1533634,5618970,968600,582,0,8121786
896,2007,BALEARES,0,1822663,6200,1493,0,1830356
897,2007,LAS PALMAS,0,2914980,274614,6688,0,3196282
898,2007,S.C.TENERIFE,1600,2212950,137626,39374,0,2391550
899,2007,CANTABRIA,853800,427338,35700,1664,0,1318502
900,2007,AVILA,75161,0,138730,6977,0,220868
901,2007,BURGOS,42119,197700,853433,5662,466000,1564914
